,,,,LUCAS spade sampling method,,,,,,,,,,,,Gouge auger sampling method,,,,,,,,,,,,
Sampling location,GPS_LONG,GPS_ LAT,Land cover,Soil_ID,"Clay/
g kg–1","Silt/
g kg–1","Sand/
g kg–1","Organic carbon/
g kg–1","Calcium carbonate/
g kg–1","Nitrogen/
g kg–1","Phosphorus/
mg kg–1","Potassium/
mg kg–1","pH in H2O
",pH in CaCl2,"Electrical conductivity/
mS m–1",Soil_ID,"Clay/
g kg–1","Silt/
g kg–1","Sand/
g kg–1","Organic carbon/
g kg–1","Calcium carbonate/
g kg–1","Nitrogen/
g kg–1","Phosphorus/
mg kg–1","Potassium/
mg kg–1","pH in H2O
",pH in CaCl2,"Electrical conductivity/
mS m–1",
62,8.8472,46.9223,pasture,53066,23,52,25,94.8,0,8,22.9,141.9,4.46,4.1,37.6,53226,26,53,21,45.7,0,4.8,20,98.3,4.5,4.1,36.3,
63,9.6183,46.9255,mixed forest,53067,20,59,21,31.1,1,2.8,6.7,58.4,4.55,4.1,24.2,53227,21,58,21,28.6,0,2.7,11.5,51.7,4.57,4.2,25.2,
64,8.4899,46.9337,pasture,53068,21,56,23,99.6,0,8.3,18,251.9,6.08,5.9,89.2,53228,21,53,26,87.7,0,8,12.9,153,5.93,5.8,74.6,
65,9.7231,46.9438,deciduous forest,53069,32,53,16,27.3,0,2.7,0,92.7,5.1,4.5,7.3,53229,34,48,18,18.1,0,2,0,99.1,5.07,4.5,6.6,
66,7.2302,46.9267,deciduous forest,53070,11,59,30,53.5,775,4.9,12.1,61.7,7.58,7.3,42.1,53230,10,58,32,55.4,800,5.5,13.6,55.8,7.45,7.1,55.8,
67,9.5918,46.9614,coniferous forest,53071,14,47,39,21,468,2.3,0,59.5,7.9,7.5,24.9,53231,17,54,29,26.1,401,2.3,4.3,40.9,7.65,7.3,24.5,
68,7.6753,46.9552,meadow,53073,10,49,42,37.5,2,4.3,50.4,375.3,6.84,6.6,46,53233,10,50,39,40.8,2,4.9,68.3,411,6.36,6.2,63.4,
69,8.7770,46.9734,meadow,53074,18,63,19,55.3,24,7,36.7,147.9,6.89,6.6,80.5,53234,18,62,20,68.5,5,8.9,50.6,102.1,6.37,6.3,113,
70,9.0665,46.9762,deciduous forest,53075,21,47,32,50.2,0,3.5,12.8,90.2,4.52,4,11.5,53235,25,44,31,45.6,0,3.8,16.3,59.6,4.6,4,11.4,
71,6.7799,46.9475,pasture,53076,18,69,12,60.3,0,5.7,61.9,335.4,5.21,5,90,53236,19,69,11,56,0,5.6,52.6,235.8,5.41,5.1,81.3,
72,7.0449,46.9576,cropland,53077,23,43,34,13.3,0,4,49.1,161.4,7.26,7,15.6,53237,24,40,36,12.1,0,1.9,46.4,129.8,6.85,6.6,15.4,
73,7.7270,46.9743,mixed forest,53078,6,60,34,9.3,70,0.5,0,79.3,8.06,7.4,12.1,53238,6,57,37,5.6,93,0.4,0,47.7,8.04,7.4,13.5,
74,6.8075,46.9691,mixed forest,53079,22,52,26,73.8,0,5.1,6.5,140.6,5.78,5.5,43.3,53239,23,50,27,63.5,0,4.2,5.3,97.1,5.86,5.6,34,
75,7.7260,46.9923,mixed forest,53080,13,56,31,49.7,139,4.5,13.3,87.5,7.45,7.2,41.2,53240,13,54,33,33.6,165,3.5,8.3,58.2,7.32,7.2,39.8,
76,8.2776,47.0025,mixed forest,53081,24,48,28,30.3,26,2.3,0,101.5,7.48,7.1,24.4,53241,24,49,27,35.9,28,2.6,0,62.7,7.31,7,17.4,
77,9.3789,47.0147,coniferous forest,53082,16,41,43,61.7,0,4.2,34.1,82.7,3.87,3.3,9.5,53242,20,49,32,61.3,0,4.3,26.1,46.8,3.91,3.4,9.8,
78,7.4102,47.0032,meadow,53083,13,48,39,36.3,0,4.2,84.2,417.5,5.99,5.5,14.5,53243,15,50,35,28.4,0,3.5,72.1,396.4,6.17,5.9,12.7,
79,7.4365,47.0039,meadow,53084,19,46,35,19,0,2.2,67.1,194.9,6.32,5.9,6.9,53244,19,52,30,18.1,0,2.2,64.5,97.2,6.1,5.7,14.9,
80,7.7779,47.0114,pasture,53085,15,47,38,26.4,0,2.8,16.9,133.7,6.34,6.1,29.8,53245,16,50,33,28,0,3.2,14.2,140.9,6.23,6,38.1,
81,9.2759,47.0318,coniferous forest,53087,13,37,50,39.3,0,2.4,12.4,62.3,6.84,6.5,9.6,53247,14,41,45,42.9,4,2.6,14.9,44.9,6.44,6.3,12,
82,7.1204,47.0139,meadow,53088,13,35,52,13,0,1.7,15.9,72.3,6.04,5.7,10.9,53248,13,34,53,13.6,0,1.7,16.8,47.2,6.33,6,6.5,
83,8.5394,47.0424,pasture,53089,21,52,27,25.6,0,3.3,23.2,122.9,5.35,5,27.6,53249,20,49,31,25.9,1,3.8,31.4,156.1,5.96,5.6,36.6,
84,8.7230,47.0627,coniferous forest,53090,28,51,22,51.4,0,4,11.3,94.7,3.99,3.7,23.6,53250,24,57,19,56.5,0,4.9,14.8,87.8,3.98,3.6,23.8,
85,9.0912,47.0664,coniferous forest,53091,26,52,22,70.3,0,5.5,15,92.4,4.65,4.1,12.1,53251,29,53,18,47.4,0,4.6,9,60.5,4.81,4.3,11.5,
86,9.4064,47.0681,deciduous forest,53092,8,44,48,93.6,626,6.2,24.6,87.9,7.44,7.2,24.6,53252,10,48,42,92.2,568,5.5,36.3,58.9,7.26,7.1,52.1,
87,9.4339,47.0944,coniferous forest,53093,10,44,45,99.9,0,6.6,48.5,72.5,4.4,4,11.3,53253,12,53,35,76.1,2,5.6,34.2,39.1,5.06,4.5,9,
88,6.9345,47.0449,cropland,53094,32,48,20,26.2,0,3.3,27.7,214.4,7.46,7.2,35.5,53254,33,47,21,25.4,13,3.3,27.4,170.5,7.44,7.1,32.8,
89,7.4339,47.0578,meadow,53095,16,49,35,21.9,0,2.8,43.7,90.2,5,4.7,47.4,53255,18,50,32,20.2,0,2.6,26.6,60.6,5.69,5.3,8.5,
90,7.7757,47.0654,meadow,53096,28,55,17,20.7,0,2.8,53.4,125.3,5.02,4.7,36.2,53256,26,55,19,20.6,0,2.8,58.4,101.5,5.07,4.8,31.6,
91,8.8804,47.0824,pasture,53097,23,55,22,22.9,0,3.5,7.2,118.9,4.7,4.5,55.8,53257,24,61,15,32.1,0,3.2,0,75,4.66,4.4,50.5,
92,7.0384,47.0662,cropland,53099,19,55,26,34.5,18,4.1,27.9,138.9,7.17,6.9,52.1,53259,20,58,23,35.1,1,4.3,26.5,102.2,6.64,6.4,42.6,
93,6.8798,47.0793,pasture,53100,19,68,14,43.9,0,5.1,38.9,222.6,4.71,4.4,51.3,53260,21,68,11,34.8,0,4.3,20.2,124.5,4.7,4.4,31.1,
94,7.2743,47.0902,meadow,53101,27,59,14,49.8,189,3.4,13.8,202,7.59,7.3,18.6,53261,30,53,18,26.9,189,3.3,16.4,123.3,7.39,7.1,16.6,
95,7.6163,47.0980,coniferous forest,53102,19,57,23,30.1,0,2.2,21.7,71.9,4.25,3.9,17,53262,20,58,22,32.7,0,2.4,20.6,54.4,4.01,3.8,17.5,
96,7.7741,47.1014,meadow,53103,16,48,36,23.2,6,2.6,68.6,76.9,6.97,6.8,29.5,53263,15,51,34,23.3,0,2.8,70.3,57.8,6.59,6.3,31,
97,8.3526,47.1127,cropland,53104,24,62,14,42.5,12,2.7,33,121.6,7.81,7.4,26.6,53264,24,61,15,33.8,85,2.7,29.3,88.3,7.31,7.2,17.4,
98,9.4588,47.1229,pasture,53105,19,64,18,35.9,0,4.2,18.3,83.6,4.98,4.3,4.8,53265,19,61,20,38.2,0,4.5,17.6,94.9,4.96,4.3,5,
